Split group,AGFV feature,Feature index,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Mean signed probability change,Feature ablation score
Validation,AGFV015,14,0.9247654018767849,0.9219910240718076,0.002774377804977357,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0006069787195883691,-2.581065746198874e-05,0.002835075676936194
Test,AGFV015,14,0.8859514170040484,0.8838866396761134,0.0020647773279350856,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0006326207658275962,-2.9767512387479655e-05,0.0021280394045178454
Heldout,AGFV015,14,0.9048465758992075,0.902275960170697,0.0025706157285104725,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.0006198282353579998,-2.779348687909078e-05,0.0026325985520462723
All,AGFV015,14,0.9774329597253476,0.9764718928509607,0.0009610668743869066,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0003362730785738677,0.00010370117524871603,0.0009946941822442934
Train,AGFV016,15,0.9990490054791915,0.9989612213695784,8.778410961307603e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00017131425556726754,2.0711326214950532e-05,0.00010491553516980278
Validation,AGFV016,15,0.9247654018767849,0.9241126070991432,0.0006527947776416854,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0017594039672985673,-0.00019367381173651665,0.0060918930691084006
Test,AGFV016,15,0.8859514170040484,0.8849392712550608,0.0010121457489876695,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.0010692402720451355,0.00038171291816979647,0.001119069776192183
Heldout,AGFV016,15,0.9048465758992075,0.9036781142044299,0.0011684616947775783,0.8396260922576713,0.8369945133103027,0.0026315789473685403,0.844097995545657,0.8418708240534521,0.00222717149220486,0.8148148148148148,0.8116710875331565,0.0031437272816582373,0.001413553487509489,9.466023766435683e-05,0.003941395990897068
All,AGFV016,15,0.9774329597253476,0.9768577621025908,0.0005751976227568179,0.9502697478506722,0.9494835843286596,0.0007861635220125507,0.9515915119363395,0.9509283819628647,0.0006631299734748408,0.9425649095200629,0.9417322834645669,0.0008326260554959442,0.0005411852616816759,4.272928708815016e-05,0.001415479670937536
Train,AGFV017,16,0.9990490054791915,0.999034374794256,1.4630684935457161e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,9.874261741060764e-05,-8.884463750291616e-05,2.4504946676517926e-05
