Region label,Region name,hemisphere,RSN,Region ablation score,Delta AUC,Delta balanced accuracy,Mean absolute probability change,Mean AGFV absolute change,Max Region-AGFV-gene score,Mean top-50 Region-AGFV-gene score,Top linked AGFV features,Top linked genes
2015,ctx-rh-middletemporal,R,Default Mode Network,0.009087838089724,-0.0007852919438285,0.0025252525252524,0.0016221067127231,0.0054495277016543,1.0580908631394845,0.9750609261928047,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
2011,ctx-rh-lateraloccipital,R,Visual,0.009016524827829,0.0007544961813252,-0.0005235279625522,0.0025474373842924,0.0056856330369183,1.0589976292347918,0.9759520613766774,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; PXN; NCF4; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2005,ctx-rh-cuneus,R,Visual,0.008987981973464,-0.001508992362651,-0.0030487804878048,0.0044928054538817,0.0082242200882701,1.0637606147057226,0.9793573853584076,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; MAP3K3; PXN; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
2009,ctx-rh-inferiortemporal,R,Limbic system,0.0087307881051796,-0.0022634885439765,-0.0005235279625522,0.0036880948094558,0.0072772236144072,1.0586298486474977,0.975704450900009,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
2014,ctx-rh-medialorbitofrontal,R,Limbic system,0.0086831119665569,-0.0013088199063809,0.0,0.0032262654977629,0.0062131801873296,1.0562786056610243,0.973487240283985,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; RASGRP4; GLT1D1; CD63; DYSF
2034,ctx-rh-transversetemporal,R,Somato-motor,0.0081175421084339,7.698940625766593e-05,0.0030487804878048,0.0016031108130263,0.0031124183074223,1.050877627291951,0.9686923974059728,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
30,Left-vessel,,,0.0080049386892308,-1.539788125171082e-05,0.0,0.0030227431265935,0.0049975934438889,1.0543355698812014,0.9701854655422427,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2030,ctx-rh-superiortemporal,R,Somato-motor,0.0077570899339919,-0.0005389258438039,-0.0030487804878048,0.003228612488537,0.0078399406831411,1.0559096519148234,0.9737494919602231,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
251,CC_Posterior,,,0.0073011187179428,-0.0004465385562947,0.0,0.0025555397723466,0.0046396313140455,1.0508382526234148,0.9681514445675665,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1005,ctx-lh-cuneus,L,Visual,0.0068703922231022,-0.0013704114313871,-0.0060975609756097,0.0045732511053098,0.009212627336944,1.05895469994559,0.9747374500007934,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
