Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,AGFV feature,Mean absolute AGFV feature change,Mean signed AGFV feature change,MNI.x,MNI.y,MNI.z
2,Left-Cerebral-White-Matter,,,,,,AGFV085,0.1361381489428491,0.06825830779959402,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV086,0.17359810927625519,-0.06953679338015245,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV087,0.14981061059631695,0.06327555921360932,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV088,0.13434069916523622,-0.05016375398932241,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV089,0.07272368908257774,-0.006377576546774385,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV090,0.1561410725734181,0.039939506710069614,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV091,0.062304667006787016,0.0169614782011476,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV092,0.2952093955396947,0.12978273720701755,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV093,0.23417064627807443,0.07720824209613036,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV094,0.06328242858717455,-0.009612341323939476,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV095,0.09158946164929982,-0.01112283487130183,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV096,0.1710405462313423,-0.06464037605823733,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV097,0.1637978471239298,0.05858661294065786,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV098,0.04983034408882837,-0.00829986635163344,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV099,0.1610133980107571,0.06774389994901847,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV100,0.21694258343201975,-0.07759990121201915,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV101,0.18434125517407504,-0.057325524139058524,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV102,0.15165578793137444,-0.06378052255025556,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV103,0.17500002892142502,-0.06664029097194829,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV104,0.2727928014667653,0.11611051030086549,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV105,0.2890963365853821,0.11206617152822611,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV106,0.1496995433506386,0.05429036211407646,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV107,0.08995157185921353,-0.033582616309270015,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV108,0.27254635869468774,0.10913760688423452,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV109,0.12422593151996149,0.04808842765362882,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV110,0.21812044412350456,-0.08013987550460502,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV111,0.11724834183220706,-0.05261554447573852,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV112,0.22527665672669425,-0.09815614445145288,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV113,0.1717734948027035,-0.0611702301410845,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV114,0.24829616405851934,-0.10935875711684727,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV115,0.34899593587162087,-0.1402228405256627,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV116,0.17023556918235114,0.06763506055042888,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV117,0.3629978794748612,-0.15606976164638667,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV118,0.18802600004067077,-0.05538999737955589,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV119,0.14997001424514128,-0.052954887569938575,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV120,0.06752715980150423,-0.013348447683766402,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV121,0.2107760118351457,0.07938789541303123,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV122,0.17293990004128515,-0.06660776293080156,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV123,0.06637676405972538,-0.007866077248562765,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV124,0.19639627791900002,-0.06407460323354816,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV125,0.12530056074601265,-0.05476186715467776,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV126,0.08471653633107797,0.04295798631909802,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV127,0.10532908857856667,0.0339090122702372,,,
2,Left-Cerebral-White-Matter,,,,,,AGFV128,0.15780323658406076,-0.06787745034044289,,,
4,Left-Lateral-Ventricle,,,,,,AGFV001,0.03660754806449565,-0.01317473660475312,,,
4,Left-Lateral-Ventricle,,,,,,AGFV002,0.03473559626537627,0.00019499682692697694,,,
4,Left-Lateral-Ventricle,,,,,,AGFV003,0.07386917843179808,0.03612672776313118,,,
4,Left-Lateral-Ventricle,,,,,,AGFV004,0.04290556553648322,0.018528115601170788,,,
4,Left-Lateral-Ventricle,,,,,,AGFV005,0.03614299075461883,-0.015662294652992192,,,
4,Left-Lateral-Ventricle,,,,,,AGFV006,0.022291288067952046,0.004383136842461581,,,
4,Left-Lateral-Ventricle,,,,,,AGFV007,0.03215918875201631,0.0027043937154896352,,,
4,Left-Lateral-Ventricle,,,,,,AGFV008,0.03376684400628614,-0.006103998420564509,,,
4,Left-Lateral-Ventricle,,,,,,AGFV009,0.027892875860738492,-0.013875222728891268,,,
4,Left-Lateral-Ventricle,,,,,,AGFV010,0.04717739144576847,-0.02237484365372368,,,
4,Left-Lateral-Ventricle,,,,,,AGFV011,0.025883967658885607,-0.004495385576307115,,,
4,Left-Lateral-Ventricle,,,,,,AGFV012,0.05537272973284537,-0.033269360332199224,,,
4,Left-Lateral-Ventricle,,,,,,AGFV013,0.032432500128917276,0.01336408307703819,,,
4,Left-Lateral-Ventricle,,,,,,AGFV014,0.02910951665957659,-0.011044799406801798,,,
4,Left-Lateral-Ventricle,,,,,,AGFV015,0.04456889063366869,0.023264623458049576,,,
4,Left-Lateral-Ventricle,,,,,,AGFV016,0.019161680949985653,-0.01092277722464082,,,
