Split group,Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,"Subjects, n",Mean mask voxels in 64^3,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Median absolute probability change,Mean signed probability change,"Prediction changed, n","Prediction changed, fraction",Mean AGFV L2 change,Mean AGFV absolute change,Mean top AGFV absolute delta,MNI.x,MNI.y,MNI.z,Region ablation score
Validation,53,Right-Hippocampus,R,Hipp,1.0,Subcortical,2.0,181,173.0,0.9307711258930772,0.9285538309928554,0.0022172949002218223,0.8397388519339739,0.8214461690071446,0.018292682926829285,0.8453038674033149,0.8287292817679558,0.016574585635359074,0.8205128205128205,0.7973856209150327,0.02312719959778775,0.017301660802894536,3.551924601197243e-05,0.01499332390849103,3,0.016574585635359115,0.38462035361425284,0.02784840277996228,0.0868883142402159,26.482748,-21.42906,-14.363645,0.06731749997344384
Test,53,Right-Hippocampus,R,Hipp,1.0,Subcortical,2.0,181,173.0,0.8814363143631436,0.8708425720620844,0.01059374230105925,0.8155333826065534,0.8083887657058388,0.007144616900714551,0.8176795580110497,0.8121546961325967,0.0055248618784530246,0.7975460122699386,0.7875,0.01004601226993862,0.01616847926483217,6.794929504394531e-05,0.01575239626073294,3,0.016574585635359115,0.4970532907185901,0.03605088123341621,0.11262046333752285,26.482748,-21.42906,-14.363645,0.0716151782635581
Heldout,54,Right-Amygdala,R,Amy,1.0,Subcortical,3.0,362,53.0,0.9060267307218526,0.9070275930032027,-0.0010008622813501011,0.8276361172702636,0.8251108647450112,0.002525252525252486,0.8314917127071824,0.8287292817679558,0.002762430939226568,0.8087774294670846,0.80625,0.0025274294670846187,0.002712213276057036,6.448244675993919e-06,-0.0007720631971770064,3,0.008287292817679558,0.07110992813692235,0.005137330832188815,0.016200826457027574,23.55462,-3.16449900000001,-19.986282,0.010202663633916191
Validation,54,Right-Amygdala,R,Amy,1.0,Subcortical,3.0,181,53.0,0.9307711258930772,0.9321261394432127,-0.0013550135501354532,0.8397388519339739,0.8285907859078591,0.011148066026114845,0.8453038674033149,0.8342541436464088,0.011049723756906049,0.8205128205128205,0.8076923076923077,0.012820512820512775,0.002447936791947204,6.139278411865234e-06,-0.001379782282515784,2,0.011049723756906077,0.07259155204390993,0.005261155276608175,0.016181203747651855,23.55462,-3.16449900000001,-19.986282,0.01860711692022538
Test,54,Right-Amygdala,R,Amy,1.0,Subcortical,3.0,181,53.0,0.8814363143631436,0.8818674550381866,-0.000431140675043018,0.8155333826065534,0.8216309435821632,-0.0060975609756097615,0.8176795580110497,0.8232044198895028,-0.0055248618784530246,0.7975460122699386,0.8048780487804879,-0.007332036510549256,0.0029764897601668675,6.496906280517578e-06,-0.0001643441118382288,1,0.0055248618784530384,0.06962830422993477,0.0050135063877694555,0.016220449166403292,23.55462,-3.16449900000001,-19.986282,0.0020137806851288475
Heldout,58,Right-Accumbens-area,R,Accu,1.0,Subcortical,,362,34.0,0.9060267307218526,0.9065964523281596,-0.0005697216063069721,0.8276361172702636,0.8220620842572062,0.005574033013057478,0.8314917127071824,0.8259668508287292,0.005524861878453136,0.8087774294670846,0.8025078369905956,0.006269592476489061,0.0024383870578623115,5.513429641723633e-06,-0.0017852377498944326,2,0.0055248618784530384,0.058025500555191505,0.004190994305469421,0.013195807536168652,9.20582,11.151504,-8.70162000000002,0.012186178957927542
Validation,58,Right-Accumbens-area,R,Accu,1.0,Subcortical,,181,34.0,0.9307711258930772,0.9318797733431881,-0.0011086474501108556,0.8397388519339739,0.8285907859078591,0.011148066026114845,0.8453038674033149,0.8342541436464088,0.011049723756906049,0.8205128205128205,0.8076923076923077,0.012820512820512775,0.0019610833006175185,4.291534423828125e-06,-0.0013398274995427763,2,0.011049723756906077,0.05454618412083483,0.0039302698670270935,0.01222487783975364,9.20582,11.151504,-8.70162000000002,0.01703574411933921
Test,58,Right-Accumbens-area,R,Accu,1.0,Subcortical,,181,34.0,0.8814363143631436,0.8822370041882237,-0.0008006898250800809,0.8155333826065534,0.8155333826065534,0.0,0.8176795580110497,0.8176795580110497,0.0,0.7975460122699386,0.7975460122699386,0.0,0.0029156908151071045,6.973743438720703e-06,-0.0022306480002460887,0,0.0,0.061504816989548176,0.0044517187439117485,0.014166737232583663,9.20582,11.151504,-8.70162000000002,0.006566719733938772
Heldout,60,Right-VentralDC,,,,,,362,160.0,0.9060267307218526,0.9014535599901454,0.004573170731707155,0.8276361172702636,0.818489775806849,0.009146341463414642,0.8314917127071824,0.8232044198895028,0.008287292817679592,0.8087774294670846,0.7974683544303798,0.011309075036704863,0.013935960881998609,5.1627401262521744e-05,0.01263941601510494,3,0.008287292817679558,0.4092541533054074,0.029640129670238338,0.09199952782846946,,,,0.0581243320291267
Validation,60,Right-VentralDC,,,,,,181,160.0,0.9307711258930772,0.926829268292683,0.003941857600394227,0.8397388519339739,0.8275437299827544,0.012195121951219523,0.8453038674033149,0.8342541436464088,0.011049723756906049,0.8205128205128205,0.8051948051948052,0.015318015318015243,0.012617596672096634,3.540515899658203e-05,0.012343790778344837,2,0.011049723756906077,0.3791435879091758,0.027446383005779916,0.08458897236796374,,,,0.05730593160518091
Test,60,Right-VentralDC,,,,,,181,160.0,0.8814363143631436,0.8770633160877064,0.004372998275437245,0.8155333826065534,0.8094358216309436,0.0060975609756097615,0.8176795580110497,0.8121546961325967,0.0055248618784530246,0.7975460122699386,0.7901234567901234,0.007422555479815185,0.015254325091900582,6.968434900045395e-05,0.012935041251865046,1,0.0055248618784530384,0.43936471870163896,0.03183387633469676,0.09941008328897519,,,,0.05811124686548966
