Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Final GE branch panel,Final GE branch panel size,Final GE branch selection rule,Selected probe panel label,Selected probe panel size,Approximate unique gene symbols in selected panel
,11762503_at,,-0.0841731214372889,2.33549668874172,-3.76878609860818,0.0001974973940732,0.403607991981009,0.513352570168297,21,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
IGF2BP1,11727103_at,LOC10642,-0.0799300660734536,2.20433443708609,-3.74689224975871,0.0002146995896683,0.403607991981009,0.442375464914405,22,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ABHD12B,11738864_a_at,LOC145447,0.155922058299965,2.77209271523179,3.73919561701832,0.000221075855421,0.403607991981009,0.417512519920777,23,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ZNF703,11759097_a_at,,-0.225721262779429,7.92143377483444,-3.73068094749539,0.0002283378227112,0.403607991981009,0.39006075349344,24,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
KREMEN1,11723730_at,LOC83999,0.385355268018929,5.9654238410596,3.72852566311415,0.0002302113832678,0.403607991981009,0.383120954442396,25,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LIMK2,11734740_a_at,LOC3985,0.178782847227036,5.98095033112583,3.72594840397318,0.0002324707969046,0.403607991981009,0.374827191521832,26,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CBS,11744286_s_at,LOC875,0.675008604138091,6.0422582781457,3.72072228176081,0.0002371167531246,0.403607991981009,0.358025134648504,27,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SLC26A8,11729677_a_at,LOC116369,0.411374116930706,5.55382119205298,3.71154893749294,0.0002454841538326,0.403607991981009,0.328584208770248,28,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
RABL5,11748344_x_at,LOC64792,-0.130030575497959,2.95867549668874,-3.7105072312801,0.0002464517451071,0.403607991981009,0.325245108411761,29,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
PELO,11719917_at,LOC53918,0.163849842588358,6.7148642384106,3.70508216546035,0.0002515492168496,0.403607991981009,0.307869214102877,30,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MXD3,11746877_a_at,LOC83463,0.122294330441039,3.77601324503311,3.70208648291595,0.0002544064275586,0.403607991981009,0.298284216575345,31,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
NR4A1,11717994_a_at,LOC3164,-0.373851016980918,5.34266887417219,-3.69476312393599,0.0002615205876846,0.403607991981009,0.274881880329554,32,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ADCK2,11745039_a_at,LOC90956,-0.128169330235253,2.61394039735099,-3.67943038233993,0.0002770268339107,0.414583249076176,0.226020721424112,33,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
NANOS1,11734135_at,LOC340719,0.0762947895565836,2.11156953642384,3.66221614682465,0.0002954663067075,0.421974828257304,0.171382951428247,34,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CD46,11742220_x_at,LOC4179,0.18971368139236,6.12344370860927,3.65898409479766,0.000299054772385,0.421974828257304,0.161150335715481,35,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MCTP2,11747018_x_at,LOC55784,0.228347812503445,7.40672185430464,3.63015368999384,0.0003329297426127,0.431496676765633,0.0702362661648435,36,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
NR4A1,11717995_x_at,LOC3164,-0.232258732030244,5.40113907284768,-3.62175552927897,0.000343456563689,0.431496676765633,0.0438761501663478,37,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CREB5,11739552_a_at,LOC9586,0.270831122402357,7.62758609271523,3.61237292595714,0.000355587147015,0.431496676765633,0.0144916348429236,38,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ZNF326,11746312_x_at,LOC284695,-0.205923078626975,5.78248675496689,-3.61201609492078,0.0003560563416674,0.431496676765633,0.01337547491657,39,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
KREMEN1,11723729_at,LOC83999,0.43589264839091,6.86129470198675,3.6041361892739,0.0003665670694784,0.431496676765633,-0.0112471709327542,40,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
QPCT,11719827_a_at,LOC25797,0.229729447345621,9.16275165562914,3.59814532560078,0.0003747524140142,0.431496676765633,-0.0299343530530622,41,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
TMBIM6,11718407_a_at,LOC7009,0.0681843010823778,10.7758178807947,3.59500285941094,0.000379114335662,0.431496676765633,-0.0397252857195642,42,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
HAL,11735177_at,LOC3034,0.222032210957754,8.84438410596026,3.59459624629495,0.0003796822098755,0.431496676765633,-0.0409915955379967,43,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CREB5,11750879_a_at,LOC9586,0.255475590429612,8.05608278145695,3.59121324248397,0.0003844379738729,0.431496676765633,-0.0515221897410205,44,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
FCGR3A,11731422_s_at,LOC2214,-0.181239542441733,9.76051986754967,-3.58274950219667,0.0003965823822024,0.435235945054475,-0.0778285648715746,45,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
INTS6,11751762_s_at,LOC26512,0.146627352174632,3.71945364238411,3.57520299578022,0.0004077135870588,0.437724852401873,-0.101236433387941,46,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
FAM228A,11735102_at,LOC653140,0.0804906864004857,2.03637748344371,3.56866171725627,0.0004175987020147,0.438798499951021,-0.12148992298849,47,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LOC254896,11760084_x_at,LOC254896,0.230675825640218,5.61773841059603,3.56249606223634,0.000427121728472,0.439454868381687,-0.14054946639788,48,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CDKN1C,11729118_a_at,LOC1028,-0.212425777681204,5.49279139072848,-3.55205356782941,0.0004437167564407,0.447212157828238,-0.172761279555132,49,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
LRRC6,11743089_a_at,LOC23639,0.431134222795606,6.19310264900662,3.5431944008185,0.0004582678798389,0.452640350274569,-0.200021457888857,50,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
BCL6,11739841_a_at,LOC604,0.27193496811802,6.40104304635762,3.53678366180032,0.0004690752615005,0.452674834052308,-0.219708972704605,51,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
