Seed,Gene panel label,Selection rule,Actual probes used,Split,"Subjects, n",Best epoch,GFV dimension,Dropout,Learning rate,Weight decay,Label smoothing,Accuracy,Balanced accuracy,AUC,Precision,Recall / AD sensitivity,CN specificity,F1 score,TN,FP,FN,TP
2026,Top 50,Top 50 limma-ranked probes by raw P value,50,train,211,31,128,0.6,0.0001,0.005,0.05,0.7393364928909952,0.7503753753753755,0.84019734019734,0.5444444444444444,0.7777777777777778,0.722972972972973,0.6405228758169934,107,41,14,49
2026,Top 50,Top 50 limma-ranked probes by raw P value,50,val,45,31,128,0.6,0.0001,0.005,0.05,0.7333333333333333,0.7439903846153846,0.8100961538461539,0.5263157894736842,0.7692307692307693,0.71875,0.625,23,9,3,10
2026,Top 50,Top 50 limma-ranked probes by raw P value,50,test,46,31,128,0.6,0.0001,0.005,0.05,0.7608695652173914,0.7879464285714286,0.9107142857142857,0.5714285714285714,0.8571428571428571,0.71875,0.6857142857142857,23,9,2,12
2026,Top 100,Top 100 limma-ranked probes by raw P value,100,train,211,249,128,0.6,0.0001,0.005,0.05,0.8909952606635071,0.9131810381810381,0.9735092235092235,0.7439024390243902,0.9682539682539683,0.8581081081081081,0.8413793103448276,127,21,2,61
2026,Top 100,Top 100 limma-ranked probes by raw P value,100,val,45,249,128,0.6,0.0001,0.005,0.05,0.8444444444444444,0.8221153846153846,0.829326923076923,0.7142857142857143,0.7692307692307693,0.875,0.7407407407407407,28,4,3,10
2026,Top 100,Top 100 limma-ranked probes by raw P value,100,test,46,249,128,0.6,0.0001,0.005,0.05,0.782608695652174,0.8236607142857143,0.9330357142857142,0.5909090909090909,0.9285714285714286,0.71875,0.7222222222222222,23,9,1,13
2026,Top 250,Top 250 limma-ranked probes by raw P value,250,train,211,140,128,0.6,0.0001,0.005,0.05,0.933649289099526,0.9481445731445731,0.9961389961389961,0.8266666666666667,0.9841269841269841,0.9121621621621622,0.8985507246376812,135,13,1,62
2026,Top 250,Top 250 limma-ranked probes by raw P value,250,val,45,140,128,0.6,0.0001,0.005,0.05,0.8,0.8137019230769231,0.8437500000000001,0.6111111111111112,0.8461538461538461,0.78125,0.7096774193548387,25,7,2,11
2026,Top 250,Top 250 limma-ranked probes by raw P value,250,test,46,140,128,0.6,0.0001,0.005,0.05,0.8478260869565217,0.8705357142857143,0.9330357142857143,0.6842105263157895,0.9285714285714286,0.8125,0.7878787878787878,26,6,1,13
2026,Top 500,Top 500 limma-ranked probes by raw P value,500,train,211,125,128,0.6,0.0001,0.005,0.05,0.995260663507109,0.9966216216216216,1.0,0.984375,1.0,0.9932432432432432,0.9921259842519685,147,1,0,63
2026,Top 500,Top 500 limma-ranked probes by raw P value,500,val,45,125,128,0.6,0.0001,0.005,0.05,0.8222222222222222,0.8293269230769231,0.9278846153846154,0.6470588235294118,0.8461538461538461,0.8125,0.7333333333333333,26,6,2,11
2026,Top 500,Top 500 limma-ranked probes by raw P value,500,test,46,125,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8861607142857143,0.953125,0.7222222222222222,0.9285714285714286,0.84375,0.8125,27,5,1,13
2026,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,train,211,167,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2026,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,val,45,167,128,0.6,0.0001,0.005,0.05,0.9555555555555556,0.9459134615384616,0.9855769230769231,0.9230769230769231,0.9230769230769231,0.96875,0.9230769230769231,31,1,1,12
2026,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,test,46,167,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8459821428571428,0.9441964285714286,0.7857142857142857,0.7857142857142857,0.90625,0.7857142857142857,29,3,3,11
2026,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,train,211,80,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2026,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,val,45,80,128,0.6,0.0001,0.005,0.05,0.9555555555555556,0.9230769230769231,0.9759615384615384,1.0,0.8461538461538461,1.0,0.9166666666666666,32,0,2,11
2026,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,test,46,80,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8459821428571428,0.9754464285714286,0.7857142857142857,0.7857142857142857,0.90625,0.7857142857142857,29,3,3,11
2026,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,train,211,96,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
2026,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,val,45,96,128,0.6,0.0001,0.005,0.05,0.9555555555555556,0.9230769230769231,0.96875,1.0,0.8461538461538461,1.0,0.9166666666666666,32,0,2,11
2026,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,test,46,96,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8459821428571428,0.96875,0.7857142857142857,0.7857142857142857,0.90625,0.7857142857142857,29,3,3,11
777,Top 50,Top 50 limma-ranked probes by raw P value,50,train,211,25,128,0.6,0.0001,0.005,0.05,0.7109004739336493,0.7255469755469754,0.8058773058773059,0.5106382978723404,0.7619047619047619,0.6891891891891891,0.6114649681528662,102,46,15,48
777,Top 50,Top 50 limma-ranked probes by raw P value,50,val,45,25,128,0.6,0.0001,0.005,0.05,0.5777777777777777,0.5661057692307692,0.6706730769230769,0.35,0.5384615384615384,0.59375,0.42424242424242425,19,13,6,7
777,Top 50,Top 50 limma-ranked probes by raw P value,50,test,46,25,128,0.6,0.0001,0.005,0.05,0.8260869565217391,0.8348214285714286,0.8839285714285715,0.6666666666666666,0.8571428571428571,0.8125,0.75,26,6,2,12
777,Top 100,Top 100 limma-ranked probes by raw P value,100,train,211,9,128,0.6,0.0001,0.005,0.05,0.7061611374407583,0.7176104676104675,0.7910767910767911,0.5053763440860215,0.746031746031746,0.6891891891891891,0.6025641025641025,102,46,16,47
777,Top 100,Top 100 limma-ranked probes by raw P value,100,val,45,9,128,0.6,0.0001,0.005,0.05,0.7555555555555555,0.7596153846153846,0.8221153846153846,0.5555555555555556,0.7692307692307693,0.75,0.6451612903225806,24,8,3,10
777,Top 100,Top 100 limma-ranked probes by raw P value,100,test,46,9,128,0.6,0.0001,0.005,0.05,0.717391304347826,0.7366071428571428,0.8638392857142857,0.5238095238095238,0.7857142857142857,0.6875,0.6285714285714286,22,10,3,11
777,Top 250,Top 250 limma-ranked probes by raw P value,250,train,211,75,128,0.6,0.0001,0.005,0.05,0.8909952606635071,0.9131810381810381,0.9754397254397253,0.7439024390243902,0.9682539682539683,0.8581081081081081,0.8413793103448276,127,21,2,61
777,Top 250,Top 250 limma-ranked probes by raw P value,250,val,45,75,128,0.6,0.0001,0.005,0.05,0.7333333333333333,0.6754807692307692,0.8509615384615384,0.5384615384615384,0.5384615384615384,0.8125,0.5384615384615384,26,6,6,7
777,Top 250,Top 250 limma-ranked probes by raw P value,250,test,46,75,128,0.6,0.0001,0.005,0.05,0.9130434782608695,0.9174107142857143,0.9508928571428572,0.8125,0.9285714285714286,0.90625,0.8666666666666667,29,3,1,13
777,Top 500,Top 500 limma-ranked probes by raw P value,500,train,211,148,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
777,Top 500,Top 500 limma-ranked probes by raw P value,500,val,45,148,128,0.6,0.0001,0.005,0.05,0.8888888888888888,0.8533653846153846,0.9278846153846154,0.8333333333333334,0.7692307692307693,0.9375,0.8,30,2,3,10
777,Top 500,Top 500 limma-ranked probes by raw P value,500,test,46,148,128,0.6,0.0001,0.005,0.05,0.9130434782608695,0.9174107142857143,0.9732142857142857,0.8125,0.9285714285714286,0.90625,0.8666666666666667,29,3,1,13
777,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,train,211,66,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
777,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,val,45,66,128,0.6,0.0001,0.005,0.05,0.8888888888888888,0.8533653846153846,0.9615384615384616,0.8333333333333334,0.7692307692307693,0.9375,0.8,30,2,3,10
777,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,test,46,66,128,0.6,0.0001,0.005,0.05,0.9347826086956522,0.9330357142857143,0.9821428571428572,0.8666666666666667,0.9285714285714286,0.9375,0.896551724137931,30,2,1,13
777,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,train,211,70,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
