probe_id,locus_link,gene_symbol
11715457_x_at,LOC6746,SSR2
11715458_a_at,LOC1351,COX8A
11715459_x_at,LOC1351,COX8A
11715460_a_at,LOC1718,DHCR24
11715461_at,LOC4069,LYZ
11715462_x_at,LOC4069,LYZ
11715463_s_at,LOC3487,IGFBP4
11715464_x_at,LOC3487,IGFBP4
11715465_at,LOC3487,IGFBP4
11715466_at,LOC397,ARHGDIB
11715467_s_at,LOC397,ARHGDIB
11715468_at,LOC7284,TUFM
11715469_s_at,LOC7295,TXN
11715470_x_at,LOC7295,TXN
11715471_a_at,LOC6734,SRPR
11715472_a_at,LOC6734,SRPR
11715473_at,LOC6734,SRPR
11715474_at,LOC10521,DDX17
11715475_a_at,LOC10521,DDX17
11715476_s_at,LOC10521,DDX17
11715477_at,LOC7037,TFRC
11715478_a_at,LOC7037,TFRC
11715479_a_at,LOC11337,GABARAP
11715480_x_at,LOC11337,GABARAP
11715481_a_at,LOC6750,SST
11715482_a_at,LOC4170,MCL1
11715483_s_at,LOC4170,MCL1
11715484_a_at,LOC4170,MCL1
11715485_a_at,LOC4170,MCL1
11715486_x_at,LOC4170,MCL1
11715487_a_at,LOC4170,MCL1
11715488_s_at,LOC10857,PGRMC1
11715489_a_at,LOC10857,PGRMC1
11715490_s_at,,AMY1A || AMY1B || AMY1C || AMY2A || AMY2B
11715491_s_at,LOC6624,FSCN1
11715492_s_at,LOC10933,MORF4L1
11715493_a_at,LOC3491,CYR61
11715494_s_at,LOC3048,HBG2
11715495_a_at,LOC6230,RPS25
11715496_a_at,LOC1513,CTSK
11715497_a_at,LOC5018,OXA1L
11715498_a_at,LOC5018,OXA1L
11715499_x_at,LOC11335,CBX3
11715500_s_at,LOC23435,TARDBP
11715501_s_at,LOC3490,IGFBP7
11715502_x_at,LOC6142,RPL18A
11715503_a_at,LOC3927,LASP1
11715504_a_at,LOC3927,LASP1
11715505_a_at,LOC3376,IARS
11715506_a_at,LOC9500,MAGED1
11715507_s_at,LOC9500,MAGED1
11715508_x_at,LOC4240,MFGE8
11715509_a_at,LOC80762,NDFIP1
11715510_s_at,LOC80762,NDFIP1
11715511_x_at,LOC80762,NDFIP1
11715512_s_at,LOC80762,NDFIP1
11715513_s_at,LOC80762,NDFIP1
11715514_a_at,LOC9709,HERPUD1
11715515_a_at,LOC5709,PSMD3
11715516_x_at,LOC5709,PSMD3
11715517_s_at,LOC51629,SLC25A39
11715518_a_at,LOC9761,MLEC
11715519_a_at,LOC9761,MLEC
11715520_at,LOC9761,MLEC
11715521_a_at,LOC9761,MLEC
11715522_a_at,LOC3030,HADHA
11715523_a_at,LOC3030,HADHA
11715524_a_at,LOC23406,COTL1
11715525_a_at,,ATP6V1G2-DDX39B || DDX39B
11715526_s_at,,ATP6V1G2-DDX39B || DDX39B
11715527_x_at,,ATP6V1G2-DDX39B || DDX39B
11715528_a_at,,ATP6V1G2-DDX39B || DDX39B
11715529_x_at,,ATP6V1G2-DDX39B || DDX39B
11715530_a_at,LOC908,CCT6A
11715531_at,LOC10594,PRPF8
11715532_a_at,LOC3460,IFNGR2
11715533_a_at,LOC4035,LRP1
11715534_a_at,LOC4035,LRP1
11715535_a_at,LOC2873,GPS1
11715536_a_at,LOC3418,IDH2
11715537_x_at,LOC3418,IDH2
11715538_s_at,LOC6176,RPLP1
11715539_x_at,LOC6176,RPLP1
11715540_s_at,LOC6208,RPS14
11715541_a_at,LOC7070,THY1
11715542_s_at,LOC7070,THY1
11715543_x_at,LOC6202,RPS8
11715544_a_at,LOC10972,TMED10
11715545_at,LOC10972,TMED10
11715546_s_at,LOC10951,CBX1
11715547_at,LOC79073,TMEM109
11715548_a_at,LOC1605,DAG1
11715549_at,LOC1605,DAG1
11715550_at,LOC1605,DAG1
11715551_s_at,LOC2621,GAS6
11715552_a_at,LOC10989,IMMT
11715553_s_at,LOC10989,IMMT
11715554_a_at,LOC1727,CYB5R3
11715555_a_at,LOC1727,CYB5R3
11715556_a_at,LOC5768,QSOX1
11715557_at,,FLJ23867* || QSOX1
11715558_a_at,LOC9528,TMEM59
11715559_x_at,LOC10971,YWHAQ
11715560_s_at,,LOC101929842 || PGA5 || PGA3 || PGA4
11715561_s_at,LOC6319,SCD
11715562_x_at,LOC6319,SCD
11715563_s_at,LOC6319,SCD
11715564_s_at,LOC8971,H1FX
11715565_at,LOC5708,PSMD2
11715566_at,LOC22818,COPZ1
11715567_at,LOC22818,COPZ1
11715568_a_at,LOC928,CD9
11715569_at,LOC928,CD9
11715570_x_at,LOC928,CD9
11715571_a_at,LOC22883,CLSTN1
11715572_a_at,LOC22883,CLSTN1
11715573_s_at,LOC11014,KDELR2
11715574_a_at,LOC11014,KDELR2
11715575_x_at,LOC5496,PPM1G
11715576_at,LOC5879,RAC1
11715577_x_at,LOC5879,RAC1
11715578_s_at,LOC5879,RAC1
11715579_a_at,LOC79001,VKORC1
11715580_a_at,LOC1155,TBCB
11715581_a_at,LOC10992,SF3B2
11715582_s_at,LOC10992,SF3B2
11715583_s_at,LOC3113,HLA-DPA1
11715584_a_at,LOC857,CAV1
11715585_a_at,LOC5376,PMP22
11715586_at,LOC22919,MAPRE1
11715587_at,LOC22919,MAPRE1
11715588_x_at,LOC10398,MYL9
11715589_at,LOC1778,DYNC1H1
11715590_at,LOC1778,DYNC1H1
11715591_s_at,LOC1778,DYNC1H1
11715592_x_at,LOC1778,DYNC1H1
11715593_s_at,LOC7533,YWHAH
11715594_a_at,LOC55544,RBM38
11715595_a_at,LOC5695,PSMB7
11715596_at,LOC5695,PSMB7
11715597_x_at,LOC5695,PSMB7
11715598_at,LOC10342,TFG
11715599_a_at,LOC51433,ANAPC5
11715600_a_at,LOC6992,PPP1R11
11715601_a_at,LOC6992,PPP1R11
11715602_s_at,LOC6678,SPARC
