Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Selected for final GE branch panel,Final GE branch panel,Final GE branch panel size
CEP85L,11759323_at,LOC387119,0.0751125867727278,5.25057284768212,0.669246820240893,0.503852729046894,0.977815670604323,-5.56564371633441,25428,False,Higher in AD,False,,
OTUD6A,11738549_at,LOC139562,0.0150715473698752,2.30454635761589,0.669239479299341,0.503857404473264,0.977815670604323,-5.56564816684942,25429,False,Higher in AD,False,,
SP140 || SP140L,11752201_s_at,,-0.0336118696982508,6.8246357615894,-0.669226902141512,0.503865414885499,0.977815670604323,-5.56565579175688,25430,False,Lower in AD,False,,
PJA1,11745104_a_at,LOC64219,-0.0311991827800785,6.4654238410596,-0.669218928840265,0.503870493128989,0.977815670604323,-5.56566062550028,25431,False,Lower in AD,False,,
RGS3,11740106_a_at,LOC5998,0.0252810051344695,3.33754966887417,0.669161524977755,0.503907054795323,0.977815670604323,-5.56569542439021,25432,False,Higher in AD,False,,
SALL1,11745085_a_at,LOC6299,0.0162173257632829,2.43095695364238,0.669132261148441,0.503925694054065,0.977815670604323,-5.5657131633193,25433,False,Higher in AD,False,,
ZDHHC4,11730836_a_at,LOC55146,-0.0268183554358527,8.15249337748344,-0.669090087105115,0.503952556968011,0.977815670604323,-5.56573872670518,25434,False,Lower in AD,False,,
MAG,11734656_a_at,LOC4099,-0.0179187626137783,2.73462913907285,-0.669049628244096,0.503978328103927,0.977815670604323,-5.56576324894062,25435,False,Lower in AD,False,,
CDH11,11742873_a_at,LOC1009,0.0144050486228899,2.86514238410596,0.668994822013946,0.504013239217726,0.977815670604323,-5.56579646480175,25436,False,Higher in AD,False,,
ZNF148,11728313_at,LOC7707,0.0598736600351771,5.76803973509934,0.668976302898488,0.504025036030468,0.977815670604323,-5.56580768788292,25437,False,Higher in AD,False,,
