"Gene symbol","Probe ID / feature ID","LocusLink","limma logFC AD vs CN","Average expression","Moderated t statistic","Raw P value","FDR-adjusted P value","B statistic","Rank by raw P value","Selected for 464-gene panel","Direction in AD"
"GK","11750720_s_at","LOC2710",0.220911766111645,8.45403973509934,3.06234334966384,0.0023951342712835,0.523389827971712,-1.58540650824811,226,TRUE,"Higher in AD"
"USP32","11762047_at","",0.23715121966495,7.21809271523179,3.06066548810551,0.00240818156600714,0.523922708452989,-1.58991279960542,227,TRUE,"Higher in AD"
"","11762658_at","",0.0605445669226734,2.06260927152318,3.05726784497087,0.00243480260199516,0.52640061559725,-1.59903090702102,228,TRUE,"Higher in AD"
"MPP7","11734216_a_at","LOC143098",-0.108353455293506,2.77463245033113,-3.05649584701851,0.00244088893556413,0.52640061559725,-1.601101366155,229,TRUE,"Lower in AD"
"MAOB","11719499_at","LOC4129",0.11665625668673,2.74328145695364,3.05001429255169,0.00249254330692366,0.535203233720574,-1.6184653062294,230,TRUE,"Higher in AD"
"FAM8A1","11756601_a_at","LOC51439",0.20039239676737,6.31133443708609,3.04556112547484,0.00252861300501377,0.53573595401371,-1.63037528991573,231,TRUE,"Higher in AD"
"INTS6","11751761_a_at","LOC26512",0.156823257060841,5.25172185430464,3.04497914495148,0.00253336221069588,0.53573595401371,-1.63193059432076,232,TRUE,"Higher in AD"
"TLR2","11754833_a_at","LOC7097",0.10665087121544,10.391642384106,3.04246531281699,0.00255397048310545,0.53573595401371,-1.63864545415082,233,TRUE,"Higher in AD"
"SNX29P2","11737842_x_at","LOC440352",-0.21226243905275,5.27546357615894,-3.04160940316647,0.00256102227596904,0.53573595401371,-1.64093054749064,234,TRUE,"Lower in AD"
"MBD6","11722250_s_at","LOC114785",0.112549789248769,9.19524503311258,3.03718815446895,0.00259773450461738,0.53573595401371,-1.6527247573238,235,TRUE,"Higher in AD"
"TPCN2","11736837_a_at","LOC219931",0.182004182035226,4.66284437086093,3.03615267645057,0.00260640228852127,0.53573595401371,-1.65548470176685,236,TRUE,"Higher in AD"
"GLIS2","11718471_at","LOC84662",0.153054486033112,2.76045695364238,3.03565286859416,0.0026105955842867,0.53573595401371,-1.65681656590598,237,TRUE,"Higher in AD"
"WLS","11745018_a_at","LOC79971",0.375353797061664,5.78168543046358,3.03429560684323,0.00262201405129466,0.53573595401371,-1.66043229848366,238,TRUE,"Higher in AD"
"ARFGAP3","11750980_a_at","LOC26286",0.104607225365351,2.53678476821192,3.03405806934582,0.00262401713505624,0.53573595401371,-1.66106494076563,239,TRUE,"Higher in AD"
"P2RY10","11741190_a_at","LOC27334",-0.229476874541185,5.54494370860927,-3.02874273412566,0.0026692091312881,0.53573595401371,-1.67520935867822,240,TRUE,"Lower in AD"
"REM2","11729533_s_at","LOC161253",0.157570309507345,8.87358940397351,3.0275562119005,0.00267939428091719,0.53573595401371,-1.67836359843948,241,TRUE,"Higher in AD"
"CLIC1","11757474_x_at","LOC1192",0.0456700586396286,11.5838311258278,3.0275096393011,0.00267979478886858,0.53573595401371,-1.67848738304287,242,TRUE,"Higher in AD"
"ZNF410","11725690_a_at","LOC57862",-0.0906239843043814,7.2309238410596,-3.02589334314174,0.00269372847954088,0.53573595401371,-1.68278220903414,243,TRUE,"Lower in AD"
